0,1,2,3,4,5,6,7,8,12,13,14,accession_number,company_name,report_period,filed_date,cik
Pool Balance,Pool Balance,Pool Balance,Pool Balance,Pool Balance,Pool Balance,,,,,,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
1.,1.,1.,Pool Balance on the close of the last day of the preceding Collection Period,Pool Balance on the close of the last day of the preceding Collection Period,Pool Balance on the close of the last day of the preceding Collection Period,,,,$,235104554.32,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
2.,2.,2.,Collections allocable to Principal,Collections allocable to Principal,Collections allocable to Principal,,,,$,14736684.04,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
3.,3.,3.,Purchase Amount allocable to Principal,Purchase Amount allocable to Principal,Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
4.,4.,4.,Defaulted Receivables,Defaulted Receivables,Defaulted Receivables,,,,$,327506.90,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
5.,5.,5.,Pool Balance on the close of the last day of the related Collection Period,Pool Balance on the close of the last day of the related Collection Period,Pool Balance on the close of the last day of the related Collection Period,,,,$,220040363.38,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,(Ln1 - Ln2 - Ln3 - Ln4),(Ln1 - Ln2 - Ln3 - Ln4),(Ln1 - Ln2 - Ln3 - Ln4),,,,,,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
6.,6.,6.,Total number of Receivables outstanding on the close of the last day of the related Collection Period,Total number of Receivables outstanding on the close of the last day of the related Collection Period,Total number of Receivables outstanding on the close of the last day of the related Collection Period,,,,31460,31460,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
7.,7.,7.,Initial Pool Balance,Initial Pool Balance,Initial Pool Balance,,,,$,1503750003.50,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,,,,Beginning of Period,Beginning of Period,Beginning of Period,End of Period,End of Period,End of Period,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
8.,8.,8.,Note Balances,Note Balances,Note Balances,,,,,,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,a. Class A-1 Note Balance,a. Class A-1 Note Balance,a. Class A-1 Note Balance,$,0.00,,$,0.00,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,b. Class A-2a Note Balance,b. Class A-2a Note Balance,b. Class A-2a Note Balance,$,0.00,,$,0.00,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,c. Class A-2b Floating Rate Note Balance,c. Class A-2b Floating Rate Note Balance,c. Class A-2b Floating Rate Note Balance,$,0.00,,$,0.00,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,d. Class A-3 Note Balance,d. Class A-3 Note Balance,d. Class A-3 Note Balance,$,39545179.31,,$,24480988.37,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,e. Class A-4 Note Balance,e. Class A-4 Note Balance,e. Class A-4 Note Balance,$,103820000.00,,$,103820000.00,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
,,,f. Class B Note Balance,f. Class B Note Balance,f. Class B Note Balance,$,33840000.00,,$,33840000.00,,0001788503-23-000032,CarMax Auto Owner Trust 2019-4,20230531,20230615,0001788503
