0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,02/01/20-02/29/20,02/01/20-02/29/20,02/01/20-02/29/20,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
Determination Date,,3/10/2020,3/10/2020,3/10/2020,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
Distribution Date,,3/16/2020,3/16/2020,3/16/2020,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
